,username,verified,topic2,topic4,topic13,topic26,topic54
308,@nitewryter,0,0,0,0,0,0
309,@soozlife,0,0,0,0,0,0
310,@trishacullen,0,0,0,0,0,0
311,@sclayton97,0,0,0,0,0,1
312,@RealtorLeslieU,0,0,0,0,0,0
313,@AspartameBoy,0,0,0,0,0,0
314,@oupioneer,0,0,0,0,0,0
315,@OurAbility_CEO,0,0,0,0,0,0
316,@dianahess22,0,0,0,0,0,0
317,@Rcrooks1969,0,0,0,0,0,0
318,@skyvueva,0,0,0,0,0,0
319,@denkvs,0,1,0,0,0,0
320,@JohnSuncreek,0,0,0,0,0,0
321,@Crazieone2750,0,0,0,0,0,0
322,@MarkTreyger718,0,0,0,0,0,0
323,@PharmacyPodcast,0,0,0,0,0,0
324,@MylaTosatto,0,0,0,0,0,0
325,@kmholden3,0,0,0,0,0,0
326,@Read4Ks,0,0,1,0,0,0
327,@KevinCaelum,0,0,0,0,0,0
328,@evanmulch,0,0,0,0,0,0
329,@malinutt10,0,0,0,0,0,0
330,@NitzaSoledad,1,0,0,0,0,0
331,@comilla_s,0,0,0,0,1,0
332,@KrysteneRivers,0,0,0,0,0,0
333,@MitchkoConnie,0,0,0,0,0,0
334,@5drinkMax,0,0,0,0,0,0
335,@grayjonv,0,0,0,0,1,0
336,@Mauricio_Rosas,0,0,1,0,0,0
337,@HolmesCarolyn23,0,0,0,1,0,0
338,@Wellingtonflgov,0,1,0,0,0,0
339,@seaplane17,0,0,0,0,0,0
340,@AlbertHoward888,0,0,0,0,0,0
341,@celset2,0,0,0,1,0,0
342,@BartNLutherKing,0,1,0,0,0,0
343,@mercedesana88,0,1,0,0,0,0
344,@tauberculosis,0,0,0,0,0,0
345,@KevinClamato,0,0,0,0,0,0
346,@CirceRegina,0,0,0,0,0,0
347,@pak38197,0,0,0,0,0,0
348,@dogwatcher62,0,0,0,0,0,0
349,@TerraMarQue,0,0,0,0,0,0
350,@mactavish,0,1,0,0,0,0
351,@MarkDaVinciGrp,0,0,0,0,0,0
352,@poplifegirl,0,0,0,0,0,0
353,@COSseaton,0,0,1,0,0,0
354,@laurm726,0,0,0,0,1,0
355,@frozenfldrinks,0,1,0,0,0,0
356,@tisharowemd,0,0,0,0,0,0
357,@Flygirlinpie,0,0,0,0,0,0
358,@amsden_daniel,0,0,0,0,0,0
359,@robbycfla,0,0,1,0,0,0
360,@RadicalLeft562,0,0,0,0,0,0
361,@ThatOhioKidRyan,0,0,0,0,0,0
362,@GregKfromNJ,0,0,0,0,0,0
363,@SwitchingGranny,0,1,0,0,0,0
364,@CraigFromPA,0,0,0,0,0,0
365,@trijoey,0,0,0,0,0,0
366,@steveeagle2,0,0,0,0,0,0
367,@KrauseForIowa,0,0,0,0,1,0
368,@rychemom,0,1,0,0,0,0
369,@watergatesummer,0,0,0,0,0,0
370,@jaskiewiczc,0,0,1,0,0,0
371,@hann23,0,0,0,0,0,0
372,@maryinsouthie,0,0,0,0,0,0
373,@moze401,0,0,0,0,0,0
374,@DoGoodforOthers,0,0,0,0,0,0
375,@MichaelStusser,0,1,0,0,0,0
376,@hflores12,0,0,0,0,0,0
377,@OGO51111,0,1,0,0,0,0
378,@bmking72,0,1,0,0,0,0
379,@mass_ave,0,1,0,0,0,0
380,@Michelej60,0,1,0,0,0,0
381,@CJ_freethinkr,0,1,0,0,0,0
382,@Sonikku_a2,0,1,0,0,0,0
383,@Maggievt,0,0,0,0,0,0
384,@LAangel_Camilla,0,1,0,0,0,0
385,@crispchris91,0,1,0,0,0,0
386,@scarver195829,0,0,0,0,0,0
387,@Sareesuh,0,0,0,0,0,0
388,@malizabeth1,0,0,0,0,0,0
389,@TeriCBrownUGA,0,0,0,0,0,0
390,@lil3sis,0,0,0,0,0,0
391,@MrsEmoticon,0,1,0,0,0,0
392,@KCPublicHealth,0,1,0,0,0,0
393,@AnnSchroederWi2,0,0,0,0,0,0
394,@LoveFlowercita,0,0,0,0,0,0
395,@DrShamsulAlam5,0,0,0,0,0,0
396,@Giovannifilang1,0,0,0,0,0,0
397,@CovfefeDistant,0,0,0,0,0,0
398,@Kayetx4gran,0,0,0,0,0,0
399,@mowokyboy,0,0,0,0,0,0
400,@dreemusa,0,0,0,0,0,0
401,@billybobbyjo12,0,0,0,0,0,0
402,@rbestwebs,0,0,1,0,0,0
403,@byAmandaOcasio,0,0,1,0,0,0
404,@pumpsiegreen,0,0,0,0,0,1
405,@TuckFrump13,0,0,0,0,0,0
406,@Cnbj9,0,0,0,0,0,0
407,@Larry7498,0,0,1,0,0,0
408,@TheresaGaugler,0,0,1,0,0,0
409,@Mleegan,0,0,0,0,0,0
410,@timeyee,0,0,0,1,0,0
411,@robmtaub,1,0,0,0,0,0
412,@Israelmarrero10,0,0,0,0,0,0
413,@ColinWallace4,0,0,0,0,0,0
414,@chirokaren,0,0,0,0,0,0
415,@bigstape,0,1,0,0,0,0
416,@DarganTimisha,0,0,0,0,0,0
417,@Joe_Bourgeois,0,0,0,0,0,0
418,@SeeHateGoAway,0,0,0,1,0,0
419,@DarcyMad,0,1,0,0,0,0
420,@ashc0301,0,0,1,0,0,0
421,@DPDCA,0,0,1,0,0,0
422,@billyarnie,0,1,0,0,0,0
423,@Rainbird42true,0,0,1,0,0,0
424,@micsav86,0,0,0,0,0,0
425,@LCW9217,0,0,0,0,0,0
426,@lilscud1974,0,0,0,0,0,0
427,@BarrelRider2021,0,0,0,0,0,0
428,@BoBromhal,0,0,0,0,0,0
429,@mera_gustavo,0,0,0,0,0,0
430,@medic6423,0,0,0,0,0,0
431,@simayazdani,0,0,0,0,0,0
432,@Kr1719,0,0,0,0,0,0
433,@1A_Livin,0,0,0,0,0,0
434,@jenn1972000,0,0,0,0,0,0
435,@fedorawest,0,0,1,0,0,0
436,@Rongsheng16,0,1,0,0,0,0
437,@chandlertroyd,0,0,0,0,0,0
438,@palanvinod,0,0,0,1,0,0
439,@elesaborwick,0,1,0,0,0,0
440,@greggorham7,0,0,0,0,0,0
441,@Corinne4Hillary,0,0,1,0,0,0
442,@iamlorenzorulli,0,0,0,0,0,0
443,@tx_buyer,0,0,0,0,0,0
444,@HappyPl73458646,0,0,0,0,0,0
445,@RadioInfidelSho,0,0,0,0,0,0
446,@GingerhairGrnEy,0,0,0,0,0,0
447,@rfield2011,0,0,0,0,0,0
448,@JohnWyche,0,0,0,0,0,0
449,@cgoddardmd1,0,0,1,0,0,0
450,@kelly72772,0,0,0,0,1,0
451,@DivabrickI,0,0,1,0,0,0
452,@Sclmb85,0,0,0,0,0,0
453,@LindaTheimer,0,0,0,0,0,0
454,@LokitoDR1,0,0,0,0,0,0
455,@GunLiceN4Hrs,0,0,0,0,0,0
456,@StevenLeeCochr2,0,0,0,0,0,0
457,@William52820472,0,0,0,0,0,0
458,@2020isourtime,0,0,0,0,0,0
459,@CigarCigarz,0,0,0,0,0,0
460,@QueenAdesuyi,0,0,0,0,0,0
461,@whaley_linda,0,1,0,0,0,0
462,@Anneredmond13,0,1,0,0,0,0
463,@Diva0065,0,0,0,0,0,0
464,@candidam91,0,0,0,0,0,0
465,@bknorman1,0,0,0,0,0,0
466,@aurora_may_pixi,0,0,0,0,1,0
467,@Tedards,0,1,0,0,0,0
468,@CheckwDavid,0,0,0,0,0,0
469,@Lindsanity50,0,1,0,0,0,0
470,@TNtales,0,0,0,0,0,0
471,@pkdnmaxey,0,0,0,0,0,0
472,@MPSallusti73,0,0,0,0,0,0
473,@CarlaMorrison,0,0,0,0,0,0
474,@AnnaVioral,0,1,0,0,0,0
475,@JeffJRider,0,0,0,0,0,0
476,@SuarezSusaanne,0,0,0,0,0,0
477,@austyle70,0,0,0,0,0,0
478,@RoboticsNJ,0,0,0,0,0,0
479,@BryanEvanArt,0,0,1,0,0,0
480,@isolatediguana,0,0,0,0,0,0
481,@Oxford19Uru,0,1,0,0,0,0
482,@MJCOPPOTELLI,0,1,0,0,0,0
483,@xiaozhuyang,0,0,0,0,0,0
484,@KareyHagen,0,1,0,0,0,0
485,@verylucky_guy,0,0,0,0,0,0
486,@Squish69,0,0,0,0,0,0
487,@SusanFreebern,0,0,0,0,0,0
488,@Drlinzhan,0,0,0,1,0,0
489,@Toad_Hall,0,0,1,0,0,0
490,@gzuckier,0,0,0,0,0,0
491,@Callme_Brodee,0,0,0,0,0,0
492,@ElectroBoy,0,0,0,0,0,0
493,@sleeptechno,0,0,0,0,0,0
